country,no_of_indian_students,percentage,latitude,longitude,code
United States of America,165918,37.13498524,39.7837304,-100.4458825,USA
Australia,66886,14.97010947,-24.7761086,134.755,AUS
Canada,50000,11.19076449,61.0666922,-107.9917071,CAN
New Zealand,32000,7.162089271,-41.5000831,172.8344077,NZL
Bahrain,27000,6.043012822,35.2078012,72.5473968,BHR
United Kingdom,16715,3.741072568,25.2232283,55.1594933,GBR
China,16694,3.736372447,25.4915799,-98.9811115,CHN
Ukraine,7963,1.782241152,49.4871968,31.2718321,UKR
Philippines,6500,1.454799383,12.7503486,122.7312101,PHL
Russian Federation,6500,1.454799383,64.6863136,97.7453061,RUS
Dubai,5500,1.230984093,25.0750095,55.18876088,DOM
France,5000,1.119076449,46.603354,1.8883335,FRA
Kyrgyzstan,4686,1.048798448,41.5089324,74.724091,KGZ
Nepal,3000,0.671445869,28.1083929,84.0917139,NPL
Poland,2500,0.559538224,52.0977181,19.0258159,POL
Kazakhstan,2400,0.537156695,47.2286086,65.2093197,KAZ
Sweden,2340,0.523727778,59.6749712,14.5208584,SWE
Ireland,2096,0.469116847,52.865196,-7.9794599,IRL
Germany,1715,0.383843222,51.0834196,10.4234469,DEU
Malaysia,1493,0.334156228,2.3923759,112.8471939,MYS
Tanzania,1220,0.273054653,-6.5247123,35.7878438,TZA
Iran,1200,0.268578348,32.9407496,52.9471344,IRN
Italy,1163,0.260297182,42.6384261,12.674297,ITA
South Korea,1022,0.228739226,41.7816885,123.4204203,ZAF
Bangladesh,1000,0.22381529,24.4768783,90.2932426,BGD
Finland,1000,0.22381529,63.2467777,25.9209164,FIN
Japan,879,0.19673364,36.5748441,139.2394179,JPN
Saudi Arabia,850,0.190242996,14.4845383,121.0221299,SAU
Belgium,600,0.134289174,50.6407351,4.66696,BEL
Israel,550,0.123098409,30.8760272,35.0015196,ISR
Mauritius,500,0.111907645,-20.2759451,57.5703566,MUS
Switzerland,445,0.099597804,46.7985624,8.2319736,CHE
HongKong,365,0.081692581,22.350627,114.1849161,HKG
Czech Republic,350,0.078335351,49.8167003,15.4749544,CZE
Hungary,350,0.078335351,47.1817585,19.5060937,HUN
Belarus,343,0.076768644,53.4250605,27.6971358,BLR
Austria,300,0.067144587,47.2000338,13.199959,AUT
Denmark,274,0.061325389,55.670249,10.3333283,DNK
Norway,250,0.055953822,64.5731537,11.52803644,NOR
Romania,200,0.044763058,45.9852129,24.6859225,ROU
Moldova,160,0.035810446,47.286747,28.5110236,MDA
Estonia,150,0.033572293,58.7523778,25.3319078,EST
South Africa,150,0.033572293,-28.8166236,24.991639,ZAF
Egypt,110,0.024619682,26.2540493,29.2675469,EGY
Mexico,100,0.022381529,19.4326009,-99.1333416,MEX
Kuwait,79,0.017681408,29.2733964,47.4979476,KWT
Bulgaria,50,0.011190764,42.6073975,25.4856617,BGR
Uzbekistan,50,0.011190764,41.32373,63.9528098,UZB
Sudan,41,0.009176427,14.5844444,29.4917691,SDN
Turkey,36,0.00805735,38.9597594,34.9249653,TUR
Brazil,24,0.005371567,-10.3333333,-53.2,BRA
Brunei Darussalam,20,0.004476306,4.4137155,114.5653908,BRN
Indonesia,18,0.004028675,-4.7993356,114.5632032,IDN
Slovakia,18,0.004028675,48.7411522,19.4528646,SVK
Sri Lanka,15,0.003357229,7.878,80.70382459,LKA
Iceland,10,0.002238153,51.38660965,0.547714867,ISL
Libya,9,0.002014338,26.8234472,18.1236723,LBY
Greece,8,0.001790522,38.9953683,21.9877132,GRC
Cuba,7,0.001566707,23.0131338,-80.8328748,CUB
Niger,5,0.001119076,17.7356214,9.3238432,NIC
Bosnia Herzegovina,2,0.000447631,44.3053476,17.5961467,BIH
Lebanon,2,0.000447631,40.3429683,-76.4233816,LBN
Chile,1,0.000223815,-31.7613365,-71.3187697,CHL
Mongolia,1,0.000223815,46.8250388,103.8499736,MNG
Serbia,1,0.000223815,44.1534121,20.55144,SRB